article,singular,plural
the,credentials,credentials
a,repository,repositories
a,farm,farms
a,pool,pools
a,server,servers
a,service,services
a,portal,portals
a,port,ports
an,API,APIs
a,database,databases
a,query,queries
a,branch,branches
an,end point,end points
a,firewall,firewalls
a,cache,caches
a,garbage collector,garbage collectors
a,spreadsheet,spreadsheets
a,document,documents
a,configuration,configurations
a,GUID,GUIDs
a,licence key,licence keys
a,tablet,tablets
a,subscription,subscriptions
a,cookie,cookies
an,SSD,SSDs
a,hard drive,hard drives
a,kanban,kanbans
a,work item,work items
a,folder,folders
a,conflict,conflicts
a,smart card,smart cards
the,history,history
the,RAM,RAM
a,solution,solutions
a,browser,browsers
the,software,software
a,tool,tools
a,pending change,pending changes
a,recycle bin,recycle bins
a,bin folder,bin folders
the,data,data
a,transaction,transactions
a,store,stores
a,balancer,balancers
a,bootstrapper,bootstrappers
a,file,files
a,package,packages
a,resource,resources
a,backlog,backlogs
a,chipset,chipsets
a,motherboard,motherboards
an,enhancement,enhancements
the,source code,source code
a,web service,web services
an,applet,applets
an,error log,error logs
a,hack,hacks
a,template,templates
an,add-on,add-ons
a,plug-in,plug-ins
a,framework,frameworks
a,slave,slaves
a,DLL,DLLs
an,assembly,assemblies
a,compiler,compilers
a,formatter,formatters
an,image,images
an,attachment,attachments
a,client,clients
a,scheduler,schedulers
a,quota,quotas
a,script,scripts
an,environment,environments
an,index,indexes
a,switcher,switchers
a,domain,domains
an,operating system,operating systems
a,host,hosts
a,runner,runners
a,trigger,triggers
a,transaction scope,transaction scopes
an,isolation level,isolation levels
the,metadata,metadata
an,XML,XMLs
a,runtime,runtimes
a,data centre,data centres
a,shelveset,shelvesets
a,controller,controllers
an,ID,IDs
a,wizard,wizards
a,notification,notifications
a,dashboard,dashboards
a,deadlock,deadlocks
a,stack,stacks
a,heap,heaps
a,queue,queues
a,batch file,batch files
a,variable,variables
the,IntelliSense,IntelliSense
a,pointer,pointers
a,dependency,dependencies
a,procedure,procedures
a,dialog,dialogs
an,interface,interfaces
a,class,classes
an,object,objects
a,buffer,buffers
a,back-end,back-ends
a,setting,settings
a,process graph,process graphs
a,mainframe,mainframes
a,test suite,test suites
a,chart,charts
a,ribbon,ribbons
a,kernel,kernels
an,expression,expressions
an,archive,archives
a,console,consoles
a,utility,utilities
a,party key,party keys
a,hub,hubs
an,icon,icons
a,policy,policies
a,module,modules
a,pipe,pipes
a,code smell,code smells
a,packet,packets
a,packet sniffer,packet sniffers
an,installation,installations
a,registry,registries
a,URL,URLs
a,sandpit,sandpits
a,protocol,protocols
a,schema,schemas
a,spooler,spoolers
an,enum,enums
a,modulator,modulators
a,string,strings
a,logic board,logic boards
a,manifest,manifests
a,backup,backups
a,library,libraries
a,transition phase,transition phases
a,data warehouse,data warehouses
a,VPN,VPNs
a,meeting,meetings
the,traffic,traffic
a,message,messages
a,pool,pools
a,schedule,schedules
a,relay,relays
a,core,cores
a,XAML,XAMLs
a,wildcard,wildcards
a,root,roots
a,phase,phases
a,node,nodes
a,state,states
an,outcome,outcomes
a,data reader,data readers
a,distributable,distributables
a,gas factory,gas factories
a,thumbprint,thumbprints
a,service port,service ports
a,workstream,workstreams
a,roll-out,roll-outs
a,monger,mongers
a,broker,brokers
a,lock,locks
a,condition,conditions
a,toolbar,toolbars
a,singleton,singletons
a,thread,threads
a,constructor,constructors
a,wiki,wikis
a,subclass,subclasses
a,stream,streams
a,header,headers
a,socket,sockets
a,sink,sinks
a,bit,bits
a,byte,bytes
a,nibble,nibbles
a,context,contexts
a,syntax,syntaxes
a,synergy,synergies
an,architecture,architectures
a,DAT file,DAT files
an,exchange server,exchange servers
a,runbook,runbooks
a,system,systems
a,wrapper,wrappers
a,foreign key,foreign keys
a,primary key,primary keys
a,provider,providers
a,blob,blobs
a,hash,hashes
a,cipher,ciphers
a,predicate,predicates
an,enumerable,enumerables
a,view model,view models
a,property,properties
a,chunk,chunks
a,subroutine,subroutines
a,delegate,delegates
a,routine,routines
a,function,functions
a,workspace,workspaces
a,proj file,proj files
a,trunk,trunks
a,factory,factories
a,tag,tags
a,vector,vectors
an,engine,engines
a,handshake,handshakes
a,road map,road maps
a,backing field,backing fields
a,metabase,metabases
an,algorithm,algorithms
a,mechanism,mechanisms
an,audit,audits
a,DTO,DTOs
a,reference,references
a,relationship,relationships
a,contract,contracts
a,path,paths
a,pathfinder,pathfinders
a,bottleneck,bottlenecks
a,CTE,CTEs
a,formulary,formularies
a,monitor,monitors
a,func-eval,func-evals
a,test system,test systems
a,cluster,clusters
a,timestamp,timestamps
a,partition,partitions
a,subscriber,subscribers
a,process,processes
an,extension,extensions
a,replica,replicas
an,orchestrator,orchestrators
a,container,containers
a,bootstrap,bootstraps
an,S3 bucket,S3 buckets
